Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.140.130-34.120.158.37-35918-443-6,192.168.140.130,35918,34.120.158.37,443,6,25/09/2024 01:04:39 AM,488173,13,13,1322.0,7182.0,715.0,0.0,101.69230769230768,202.21332985050904,3147.0,0.0,552.4615384615386,1097.3300639419158,17420.053956281892,53.25980748628048,19526.920000000006,51885.99482994744,256907.0,29.0,445127.0,37093.91666666667,71367.23378217554,256907.0,267.0,487589.0,40632.41666666667,70557.6327904531,257645.0,2869.0,0,0,0,0,260,284,26.62990374314024,26.62990374314024,0.0,3147.0,314.96296296296293,793.3389265765625,629386.6524216525,0,1,0,0,0,0,0,0,1.0,327.0769230769231,101.6923076923077,552.4615384615385,0,0,0,0,0,0,13,1322,13,7182,-1,64240,7,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.158.37-35918-443-6,34.120.158.37,443,192.168.140.130,35918,6,25/09/2024 01:04:39 AM,47936,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.583444592790386,23968.0,33392.41063475352,47580.0,356.0,47580.0,47580.0,0.0,47580.0,47580.0,0,0,0,0,0,0,0,0,0,40,20,41.722296395193595,20.861148197596798,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.158.37-35930-443-6,192.168.140.130,35930,34.120.158.37,443,6,25/09/2024 01:04:39 AM,556023,26,29,1849.0,58183.0,1243.0,0.0,71.11538461538463,247.1351576644775,8826.0,0.0,2006.3103448275858,2012.297959750925,107966.756770853,98.91677142852004,10296.722222222228,30204.64884212529,158311.0,13.0,500299.0,20011.96,41565.50161740704,159024.0,302.0,555475.0,19838.392857142855,40065.22589139909,158311.0,201.0,0,0,0,0,520,604,46.76065558439129,52.15611584412875,0.0,8826.0,1071.9999999999998,1744.700255579216,3043978.9818181815,0,1,0,0,0,0,0,0,1.0,1091.490909090909,71.11538461538461,2006.3103448275863,0,0,0,0,0,0,26,1849,29,58183,-1,64240,7,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.158.37-35930-443-6,34.120.158.37,443,192.168.140.130,35930,6,25/09/2024 01:04:40 AM,56344,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.24435609825359,28172.0,39398.575634152054,56031.0,313.0,56031.0,56031.0,0.0,56031.0,56031.0,0,0,0,0,0,0,0,0,0,40,20,35.496237398835724,17.748118699417862,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.158.37-35932-443-6,192.168.140.130,35932,34.120.158.37,443,6,25/09/2024 01:04:40 AM,348307,12,12,1851.0,3348.0,1243.0,0.0,154.24999999999997,353.4230339254799,2225.0,0.0,278.99999999999994,640.3477748280794,14926.487265544478,68.90473059685853,15143.782608695652,35205.362513732485,161113.0,25.0,290888.0,26444.363636363636,49183.0175492979,161815.0,90.0,346657.0,31514.272727272735,46550.33224820401,161113.0,904.0,0,0,0,0,240,264,34.452365298429264,34.452365298429264,0.0,2225.0,207.96000000000004,500.95363058870026,250954.53999999995,0,1,0,0,0,0,0,0,1.0,216.625,154.25,279.0,0,0,0,0,0,0,12,1851,12,3348,-1,64240,7,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.158.37-35932-443-6,34.120.158.37,443,192.168.140.130,35932,6,25/09/2024 01:04:41 AM,50354,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.578186440004764,25177.0,35257.75832352363,50108.0,246.0,50108.0,50108.0,0.0,50108.0,50108.0,0,0,0,0,0,0,0,0,0,40,20,39.718790960003176,19.859395480001588,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.158.37-35942-443-6,192.168.140.130,35942,34.120.158.37,443,6,25/09/2024 01:04:41 AM,476685,12,14,1853.0,11321.0,1243.0,0.0,154.41666666666666,353.4881914790811,9884.0,0.0,808.6428571428572,2618.446327563288,27636.69928778963,54.54335672404208,19067.399999999998,41604.793473829435,151968.0,9.0,434234.0,39475.818181818184,58933.67666253003,151968.0,99.0,438778.0,33752.153846153844,53702.632033334194,152646.0,9.0,0,0,0,0,240,304,25.173856949557884,29.369499774484197,0.0,9884.0,487.92592592592587,1896.5427234824692,3596874.301994302,0,1,0,0,0,0,0,0,1.0,506.6923076923077,154.41666666666666,808.6428571428571,0,0,0,0,0,0,12,1853,14,11321,-1,64240,7,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.158.37-35942-443-6,34.120.158.37,443,192.168.140.130,35942,6,25/09/2024 01:04:42 AM,47778,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8602704173469,47778.0,0.0,47778.0,47778.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20.93013520867345,20.93013520867345,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.158.37-35952-443-6,192.168.140.130,35952,34.120.158.37,443,6,25/09/2024 01:04:42 AM,348765,14,15,1279.0,16968.0,670.0,0.0,91.35714285714286,185.445246799263,8852.0,0.0,1131.1999999999998,2353.755394501064,52318.896678279074,83.15054549625106,12455.892857142857,30885.939281239145,147950.0,20.0,309454.0,23804.153846153848,43306.461534521906,148631.0,118.0,348669.0,24904.928571428572,40682.84562973646,147950.0,693.0,0,0,0,0,280,324,40.14164265336258,43.00890284288848,0.0,8852.0,608.2333333333332,1724.288812581988,2973171.909195402,0,1,0,0,0,0,0,0,1.0,629.2068965517242,91.35714285714286,1131.2,0,0,0,0,0,0,14,1279,15,16968,-1,64240,7,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.158.37-35952-443-6,34.120.158.37,443,192.168.140.130,35952,6,25/09/2024 01:04:42 AM,47016,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.808065339458906,23508.0,33224.11922083112,47001.0,15.0,47001.0,47001.0,0.0,47001.0,47001.0,0,0,0,0,0,0,0,0,0,40,20,42.53871022630594,21.26935511315297,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.158.37-42738-443-6,192.168.140.130,42738,34.120.158.37,443,6,25/09/2024 01:04:43 AM,593005,74,86,1855.0,336832.0,1243.0,0.0,25.067567567567576,148.7509024796918,16944.0,0.0,3916.651162790697,3358.7203472451574,571136.8369575299,269.8122275528874,3729.591194968555,16469.476213575887,189849.0,8.0,542141.0,7426.589041095889,23513.68309554367,190521.0,95.0,573401.0,6745.894117647063,22083.92784304348,189849.0,98.0,0,0,0,0,1480,1744,124.78815524321043,145.024072309677,0.0,16944.0,2103.645962732919,3129.8191489484216,9795767.905124221,0,1,0,0,0,0,0,0,1.0,2116.79375,25.06756756756757,3916.6511627906975,0,0,0,0,0,0,74,1855,86,336832,-1,64240,7,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.158.37-42738-443-6,34.120.158.37,443,192.168.140.130,42738,6,25/09/2024 01:04:43 AM,47786,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.779893692713344,23893.0,33219.876580144,47383.0,403.0,47383.0,47383.0,0.0,47383.0,47383.0,0,0,0,0,0,0,0,0,0,40,20,41.853262461808896,20.926631230904448,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.120.158.37-42748-443-6,192.168.140.130,42748,34.120.158.37,443,6,25/09/2024 01:04:43 AM,927591,94,106,1282.0,1489529.0,670.0,0.0,13.638297872340424,76.7712495278073,64239.0,0.0,14052.160377358488,19254.068531407313,1607185.7100812749,215.6122687693175,4661.2613065326605,20528.582621962174,270345.0,13.0,877617.0,9436.741935483871,29290.78799536127,271115.0,116.0,917226.0,8735.48571428571,27767.10711993402,270345.0,138.0,0,0,0,0,1880,2144,101.33776632157922,114.27450244773827,0.0,64239.0,7416.970149253733,15620.479601443245,2.439993829791045E8,0,1,0,0,0,0,0,0,1.0,7454.055,13.638297872340425,14052.16037735849,0,0,0,0,0,0,94,1282,106,1489529,-1,64240,7,0,0,0,0,0,0,0,0,0,No Label
