Source Port,Fwd Packet Length Max,Total Length of Fwd Packets,Flow Bytes/s,Init_Win_bytes_forward,Destination Port,Protocol,Flow Duration,Fwd Packet Length Std,Flow Packets/s
50209,662.0,937.0,13176.44985016746,-1,443,6,431148,229.3278610573579,41.74900498204793
443,0.0,0.0,216.26297577854672,-1,50210,6,143344,0.0,20.92867507534323
443,0.0,0.0,184.36358878593603,-1,50208,6,168146,0.0,17.841637624445422
443,0.0,0.0,158.75942313995412,-1,50209,6,195264,0.0,15.363815142576206
443,39.0,39.0,1.7361220559310069,-1,50031,6,81215488,27.577164466275352,0.1231292238248941
443,0.0,0.0,781.7110013911375,-1,50031,6,0,0.0,562.7871644774533
443,0.0,0.0,0.0,-1,50031,6,304262,0.0,6.573282237019411
50152,665.0,1221.0,195.46846631131532,-1,443,6,30767111,261.0533265172353,0.6825470223707387
50152,31.0,31.0,60665.36203522505,-1,443,6,511,21.920310216782973,5870.841487279844
50230,1286.0,1390.0,363.3486299311933,-1,443,6,5358490,517.4466800228471,2.2394368562785414
443,24.0,24.0,781.7110013911375,-1,50230,6,0,16.97056274847714,562.7871644774533
50228,851.0,1559.0,236.49609176718212,-1,443,6,10748592,302.13073683896704,1.6746379432766636
50228,39.0,63.0,61704.21155729677,-1,443,6,1021,19.672315572906,3917.727717923605
443,50.0,81.0,1.0411712266238742,-1,49991,6,77797002,23.177575369309015,0.1156856918470971
0,0.0,0.0,0.0,-1,0,0,1859576,0.0,2.15102797626986
0,0.0,0.0,0.0,-1,0,0,730468,0.0,2.737970725617002
0,0.0,0.0,0.0,-1,0,0,2371509,0.0,7.590104022375626
0,0.0,0.0,0.0,-1,0,0,66883,0.0,29.90296487896775
0,0.0,0.0,0.0,-1,0,0,5328866,0.0,0.3753143727014341
0,0.0,0.0,0.0,-1,0,0,2397758,0.0,0.834112533458339
137,50.0,50.0,781.7110013911375,-1,137,17,0,0.0,562.7871644774533
0,0.0,0.0,0.0,-1,0,0,83551899,0.0,0.5146501816792937
0,0.0,0.0,0.0,-1,0,0,1969394,0.0,1.0155408211866188
0,0.0,0.0,0.0,-1,0,0,20279640,0.0,0.0986210800586203
0,0.0,0.0,0.0,-1,0,0,1435880,0.0,1.3928740563278268
0,0.0,0.0,0.0,-1,0,0,232983,0.0,8.584317310705073
0,0.0,0.0,0.0,-1,0,0,1230633,0.0,1.625179887098753
0,0.0,0.0,0.0,-1,0,0,4604201,0.0,8.687718020998648
0,0.0,0.0,0.0,-1,0,0,1190364,0.0,5.040475014365354
0,0.0,0.0,0.0,-1,0,0,82106191,0.0,0.1583315440853906
0,0.0,0.0,0.0,-1,0,0,11455361,0.0,1.1348398361256358
0,0.0,0.0,0.0,-1,0,0,68150,0.0,29.347028613352897
0,0.0,0.0,0.0,-1,0,0,7025850,0.0,0.8539891970366574
63082,0.0,0.0,858.9504286493004,-1,19302,17,60539,0.0,33.03655494805002
0,0.0,0.0,0.0,-1,0,0,377706,0.0,7.942685580848597
0,0.0,0.0,0.0,-1,0,0,187328,0.0,10.676460539801845
0,0.0,0.0,0.0,-1,0,0,866676,0.0,5.769168639722341
0,0.0,0.0,0.0,-1,0,0,302,0.0,13245.03311258278
0,0.0,0.0,0.0,-1,0,0,16742,0.0,119.4600406164138
0,0.0,0.0,781.7110013911375,-1,0,0,0,0.0,562.7871644774533
0,0.0,0.0,0.0,-1,0,0,401866,0.0,7.465174958817118
0,0.0,0.0,0.0,-1,0,0,111342586,0.0,3.233264224705541
50565,0.0,0.0,1335.6278735263145,-1,19302,17,38933,0.0,51.37030282793517
0,0.0,0.0,0.0,-1,0,0,94776743,0.0,1.8675467672485853
0,0.0,0.0,0.0,-1,0,0,230623,0.0,13.00824288991124
0,0.0,0.0,0.0,-1,0,0,5894741,0.0,0.6785709499365621
0,0.0,0.0,0.0,-1,0,0,163660,0.0,12.220457045093486
0,0.0,0.0,0.0,-1,0,0,15904654,0.0,0.4401227464615074
0,0.0,0.0,0.0,-1,0,0,25884021,0.0,0.0772677475420067
58500,0.0,0.0,23163.99052382206,-1,53,17,3799,0.0,526.454330086865
0,0.0,0.0,0.0,-1,0,0,59195502,0.0,0.0675727017231816
0,0.0,0.0,0.0,-1,0,0,31328872,0.0,0.1276777536069603
0,0.0,0.0,0.0,-1,0,0,647007,0.0,3.0911566644564896
0,0.0,0.0,0.0,-1,0,0,14720740,0.0,0.2037941027421176
0,0.0,0.0,0.0,-1,0,0,307,0.0,6514.657980456026
0,0.0,0.0,0.0,-1,0,0,58343544,0.0,0.0685594279291638
0,0.0,0.0,0.0,-1,0,0,6206219,0.0,0.3222574001980916
0,0.0,0.0,0.0,-1,0,0,485185,0.0,20.6106948895782
0,0.0,0.0,0.0,-1,0,0,277343,0.0,7.211287106579218
0,0.0,0.0,0.0,-1,0,0,806082,0.0,2.4811371547807792
0,0.0,0.0,0.0,-1,0,0,8323,0.0,360.4469542232368
0,0.0,0.0,0.0,-1,0,0,4344417,0.0,1.1509024110714972
0,0.0,0.0,0.0,-1,0,0,7260785,0.0,1.3772615495431968
0,0.0,0.0,0.0,-1,0,0,50862535,0.0,0.0786433472102796
50029,35.0,37.0,2.738183132469893,-1,443,6,91301417,15.436968614336172,0.1423855228884344
0,0.0,0.0,0.0,-1,0,0,17443299,0.0,0.1146572101985983
0,0.0,0.0,0.0,-1,0,0,94558217,0.0,0.190358919309995
0,0.0,0.0,0.0,-1,0,0,1184703,0.0,4.220467070649774
443,0.0,0.0,781.7110013911375,-1,50163,6,0,0.0,562.7871644774533
0,0.0,0.0,0.0,-1,0,0,14326317,0.0,0.1396032211209622
0,0.0,0.0,0.0,-1,0,0,118561,0.0,25.303430301701237
0,0.0,0.0,0.0,-1,0,0,713281,0.0,7.009860069173299
0,0.0,0.0,0.0,-1,0,0,4482,0.0,446.2293618920125
0,0.0,0.0,0.0,-1,0,0,12058376,0.0,0.3317196279167277
50158,661.0,1344.0,227.279988216258,-1,443,6,31019009,224.6361007892048,0.8381957012230791
0,0.0,0.0,0.0,-1,0,0,224371,0.0,13.370711901270663
50175,450.0,903.0,67.41962856856047,-1,80,6,40225674,208.0785823398733,0.4226156658058732
0,0.0,0.0,0.0,-1,0,0,100791,0.0,19.843041541407462
